file.name,peak.number,85.1327_TMAO-d9,180.1216_Cotinine-d3,182.1373_Nicotine-N-oxide-d3,184.0774_F-Phe,216.9548_Bromohypoxanthine,319.1737_Oxcodone-d3,378.1968_Trazodone-d6,392.2248_Quetiapine-d8,415.2447_Risperidone-d4,114.0667_Creatinine,117.0856_Creatinine-d3,130.1093_Metformin,136.1126_Amphetamine,150.1283_MethamphetaminePhentermine_1st,150.1283_MethamphetaminePhentermine_2nd,160.1_Pregabalin interference,160.13_Pregabalin interference,160.1338_Pregabalin_2nd,166.09_Pseudoephedrine interference,166.12_Pseudoephedrine interference,166.1232_Pseudoephedrine,172.1338_Gabapentin,177.1028_Cotinine,"180.1025_3,4-Methylenedioxyamphetamine_2nd",193.0977_Hydroxycotinine,"194.1181_3,4-Methyl​enedioxy​methamphetamine",200.1287_Ecgonine,"208.1338_3,4-Methylenedioxy-N-ethylamphetamine",216.0427_Cl-Tyr,233.1654_Norfentanyl,234.1494_Methylphenidate,240.1155_Bupropion,248.1651_Meperidine,256.0157_Lamotrigine,256.1104_Hydroxybupropion,256.1701_Diphenhydramine,258.0127_37Cl Lamotrigine,266.1657_Mirtazapine,276.13_EDDP surrogate interference,278.16_EDDP surrograte,278.1909_EDDP_1st,278.212_Venlafaxine_2nd,282.07_Nitrazepam surrogate,282.0879_Nitrazepam,285.0795_Diazepam,286.0747_7-Aminoclonazepam,286.1443_Hydromorphone_1st,286.1443_Morphine_2nd,287.0587_Oxazepam_2nd,300.16_Hydrocodone_1st,300.16_Codeine_2nd,301.0744_Temazepam,302.1392_Oxymorphone,306.0816_Sertraline,308.15_Zolpidem surrogate,308.1763_Zolpidem_2nd,308.2014_Benztropine_1st,310.1419_Fluoxetine,310.2171_Methadone,313.1487_Olanzapine,316.0489_Clonazepam,316.1549_Oxycodone,319.1036_Chlorpromazine,321.0198_Lorazepam,325.0449_Lorazepam-d4,328.1549_6-Acetylmorphine_1st,328.1549_Naloxone_2nd,330.1505_Paroxetine,337.228_Fentanyl,342.1705_Naltrexone,353.1349_Cotinine glucuronide,372.1591_Trazodone,376.148_Haloperidol,380.1731_Haloperidol-d4,384.1746_Quetiapine,389.1129_Zopiclone,404.1563_Perphenazine,411.2196_Risperidone,448.1559_Aripiprazole,468.3114_Buprenorphine
,4,1929048.036,2174193.074,1706826.432,2971013.227,635815.8768,565883.8978,332951.2602,315265.2419,718222.8467,30594324.89,1827320.789,34924.59668,NPD,NPD,Interfered,488811.1703,52401.53808,6175.179842,616169.1876,27619.19365,NPD,NPD,NPD,4658.282299,45692.46238,<LOD,3300.667618,NPD,1460284.504,14538.95752,18273.07583,2667.710099,NPD,676933.4621,NPD,6235.255696,465378.3489,33923.55708,42538.1047,8760.6783,4760.182929,3764.066421,NPD,Interfered,11230.20664,11706.25867,<LOD,Interfered,2884.602112,15323.17908,NPD,<LOD,19128.36034,NPD,2378.982668,Interfered,Interfered,4297.010787,56824.82915,9421.863285,1347.739023,5082.308025,2146.210392,NPD,102868.1787,<LOD,NPD,<LOD,NPD,6539.096504,<LOD,27708.96705,3769.10713,400986.2246,7966.61359,2677.645356,5612.211061,9514.875188,1232.899564,2982.48933
,5,1656083.418,2401980.351,2228143.646,3024955.701,679963.4477,529086.09,371654.3524,404276.8108,906802.8206,69375565.23,2045555.26,25898131.07,NPD,Interfered,NPD,101348.9563,168639.9371,6295.222275,655524.3836,44931.67405,NPD,4246.007861,150921.1235,9015.107717,466624.0175,38543.98275,15903.52104,NPD,1555871.018,10143.72201,17090.89839,1964.183567,43021.82261,7428.723158,NPD,<LOD,2882.294668,35173.17384,37058.66151,NPD,<LOD,NPD,NPD,Interfered,NPD,19124.55302,7896.207151,59205.22892,2137.804196,2975.412308,5824.377747,NPD,11287.94933,NPD,4629.032803,Interfered,Interfered,3983.73968,21187.45389,17884.89041,3185.30278,NPD,3411.884554,1775.557061,108264.1546,2972.773943,<LOD,<LOD,<LOD,3309.439976,232221.1574,NPD,<LOD,470760.2728,47256.1826,55649.01069,4681.987167,<LOD,16159.52615,3737.75865
,6,1783422.276,2149589.783,1842780.357,3034065.928,657632.9308,462806.496,314519.1991,328243.466,779673.8287,53377795.88,2198746.831,193186.42,NPD,NPD,NPD,1973.251247,36112.47815,NPD,442402.0982,61191.71346,2219.725195,12012.66274,7162.162603,25259.95359,NPD,NPD,NPD,NPD,1537373.262,10584.37412,8576.814867,<LOD,8890.211197,1236.10958,14220.73241,16605.77945,<LOD,29729.32128,55860.96946,7590.1654,11910.95962,<LOD,7328.764744,Interfered,<LOD,Interfered,29746.54153,8243.371902,2628.905796,13500.45874,NPD,NPD,4859.447414,NPD,Interfered,Interfered,Interfered,4744.633017,59052.78368,12169.50306,1990.065083,4016.03002,5124.429957,NPD,81677.02754,6556.324753,2920.779155,NPD,NPD,<LOD,<LOD,3129.37739,1564.967303,358760.0274,Interfered,105127.9407,5916.367154,24921.58132,20788.1672,3350.052562
,7,1529565.569,2073394.676,1522861.57,2808200.835,632267.3595,439345.2289,313484.572,322645.158,761314.3584,69207485.26,1904074.901,15999451.9,NPD,3112.896154,NPD,2407.658855,18370.97999,9661.400809,425843.107,191826.5955,NPD,8326.975628,9373.964945,13007.40844,16560.24048,3096.13033,8654.709075,Interfered,1438409.029,3300.46103,10238.55379,NPD,5312.224456,8474.636715,10189.61152,6534.957874,4541.804884,105260.5427,24990.35161,13637.0027,9634.80111,961216.856,1358.378985,Interfered,<LOD,<LOD,29496.25718,NPD,<LOD,<LOD,NPD,24879.59793,34693.35861,1294.521989,1961.234396,Interfered,Interfered,4455.239673,93300.53226,<LOD,<LOD,NPD,NPD,2181.373646,80811.27592,7472.805377,<LOD,NPD,<LOD,NPD,NPD,NPD,<LOD,360773.922,Interfered,8081.94165,8396.005146,NPD,NPD,<LOD
,8,2017314.521,2479264.391,1645755.553,2905996.144,625750.8329,424346.7572,334454.7259,328098.7036,696984.7659,32811228.72,1879103.552,137006.4671,NPD,<LOD,NPD,532745.8568,107214.5835,4309.426543,236410.6181,151367.7084,NPD,6705005.106,12188.83931,55441.64742,<LOD,3790.668047,17179.94689,Interfered,1402278.938,26441.76044,6087.039935,NPD,8093.243816,NPD,4470.974781,3847.390521,NPD,35894.26689,153025.876,4826.867054,NPD,5077.666381,1491.074978,Interfered,6884.503818,NPD,3824.704192,Interfered,<LOD,NPD,NPD,NPD,16992.90265,NPD,4710.521625,Interfered,Interfered,NPD,48437.28131,24111.58238,1760.291283,NPD,2093.745718,5698.202551,126278.0695,<LOD,<LOD,<LOD,NPD,NPD,<LOD,<LOD,NPD,370444.6286,Interfered,2433.793528,7895.202941,NPD,5429.022119,2201.190365
,9,1943302.356,2026404.794,1685725.646,2858945.647,654194.9365,512957.2329,325070.8264,329192.5316,767204.0868,108411410,1820297.975,NPD,Interfered,NPD,NPD,172534.1984,78001.24752,14807.8535,609613.997,233695.3854,NPD,21482.13154,5161.235526,11248.90769,9921.732944,3675.957716,3231.786751,Interfered,1387798.6,66763.51584,<LOD,2371.396346,27737.33231,1087.754262,8284.483294,Interfered,1578.416525,62361.38059,71062.05834,3005.888833,NPD,NPD,<LOD,Interfered,<LOD,NPD,8490.72338,Interfered,<LOD,6698.933801,NPD,606476.0792,5418.29095,NPD,NPD,4946.354137,Interfered,NPD,45824.48894,8232.832446,<LOD,4378.749337,<LOD,4959.335165,NPD,8200.200498,4997.283019,NPD,NPD,<LOD,NPD,3312.640437,4954.224476,356113.2156,68738.42898,NPD,2606.561967,15550.85801,<LOD,3211.905644
,10,2017121.337,2380577.172,2076700.672,2956695.404,648254.9068,487172.1602,355155.7221,384080.9917,842698.3647,90735258.41,1871964.402,28395.98297,NPD,NPD,NPD,416444.4435,108186.1749,5501.202047,563825.9791,257634.1772,NPD,NPD,5485.992568,28995.30713,8381.835565,6683.962898,NPD,Interfered,1365320.077,22750.89607,NPD,2936.953369,NPD,<LOD,31286.36197,7042.019288,NPD,6509.203566,17944.80251,NPD,NPD,1630850.706,NPD,<LOD,5850.301884,Interfered,8193.529049,NPD,2301.385661,<LOD,7469.385537,NPD,38752.42282,NPD,<LOD,Interfered,12677.39924,4759.812944,50396.80041,87639.98355,7163.922924,4522.70511,<LOD,11097.93487,87186.33282,<LOD,NPD,<LOD,NPD,11037.87791,NPD,4756.274216,4630.584958,400859.7927,Interfered,7839.269426,6588.015338,28585.83732,NPD,<LOD
,11,2172731.5,2279840.43,1768189.833,2569305.277,207268.9001,380921.8881,309975.3337,330447.1439,789837.0016,27765185.5,1879392.667,35053.97309,Interfered,1721.428415,NPD,68192.22752,40395.86175,NPD,362285.3477,168174.4764,NPD,5573.817857,101011.1558,27180.88244,454236.6599,48298.30948,20725.57245,6314.04886,1327444.402,16266.921,<LOD,NPD,NPD,19253.42494,30191.6741,NPD,NPD,7969.745205,113550.3963,NPD,NPD,9459.025213,NPD,NPD,NPD,18312.12549,8009.238122,10978.07563,33113.97864,4426.593819,<LOD,NPD,7875.035197,NPD,4940.11442,Interfered,Interfered,3385.427314,35645.64553,<LOD,12478.77126,NPD,NPD,1834.661358,120318.7111,NPD,3034.830026,3118.634496,<LOD,3488.768918,96570.2524,3365.565994,3209.088244,388188.4023,Interfered,<LOD,5518.53952,34498.39953,1100.32021,<LOD
,12,2032177.77,2346865.948,2115404.056,2657035.206,222342.0635,435895.6036,327362.1535,408935.2616,663899.7279,149617046.9,NPD,47424.42066,NPD,7931.027785,NPD,26975.38265,271734.8013,20896.79056,885310.3466,169438.282,Interfered,9576.489583,4471.190334,31590.12246,6500.413749,4351.052006,<LOD,6858.78271,1337953.63,98990.92591,8184.585382,20807.73629,NPD,77570.9436,69307.7283,NPD,52251.3823,NPD,679485.0905,NPD,NPD,<LOD,1379.364392,NPD,<LOD,5518.264006,8029.436227,Interfered,84992.0459,8274.477167,NPD,261760.4602,NPD,NPD,Interfered,Interfered,Interfered,NPD,17683.57093,<LOD,1319.718602,<LOD,NPD,<LOD,108234.717,NPD,6972.808798,4249.749145,18825.82687,<LOD,NPD,2459.415339,5014.486566,417157.6066,NPD,15052.969,108628.1107,NPD,6863.165265,2516.985036
,13,2521302.694,2760761.523,2219135.172,2449041.896,286513.2371,501042.1212,431156.7053,498413.8953,736604.2175,3341420.914,2239194.233,465372.3163,456790.8574,704850.6851,484736.4073,68060.35343,14264.26392,262174.3023,38598.18557,622942.7279,Interfered,473763.8638,237407.2066,386404.6731,451222.0265,581940.4353,312868.2517,671149.885,1304336.819,277201.4948,552083.1745,341301.2287,895548.7756,179383.0091,227249.0509,Interfered,118304.8586,155508.6762,2749.777118,90393.84799,845159.9328,568038.8563,2122.870732,NPD,425505.1786,Interfered,188218.7936,172411.3157,221594.5765,303267.8775,267437.5679,262489.6142,166967.0007,211608.1318,113991.9411,482954.1603,Interfered,562374.4858,2231849.593,265249.6454,148504.006,245976.9004,127961.1718,2484.223061,93265.38057,136609.8283,196730.9505,330749.2333,736776.5301,209466.0274,213457.1604,123908.5464,144288.2566,562407.2197,163775.1318,121516.0199,125634.3143,201906.9993,71899.19068,167783.8038
20240909_08,1,2097757.287,2762288.588,2489493.665,2755349.342,883784.8798,603834.5092,481675.7624,518222.3694,971024.5244,14975.90553,9363.981401,303934.5323,155742.2693,219039.0533,131055.2854,32827.16472,3249.335925,134403.695,30015.27395,29738.84057,128693.5214,171108.1882,96921.26877,103810.4588,186566.5508,190106.0606,182479.8293,198216.1318,1528032.337,115765.2725,225620.9911,151403.8754,278322.2685,35207.11269,102703.7754,161428.1019,55750.03411,126080.8356,23427.84926,35372.68973,320304.8186,176485.9036,37382.5767,86132.79519,171204.424,45281.16615,59263.08659,69149.04167,126939.1297,117536.2611,97159.36492,142278.5308,66951.60374,52334.42973,60826.21108,Interfered,95282.76789,156192.7608,404184.2968,180887.2473,71645.37539,111795.0143,47022.97034,NPD,217311.384,47317.7135,73772.07374,110010.1535,178968.5279,78005.02977,81595.22291,52630.35153,52466.62207,621515.7156,94526.68444,48324.74189,22480.3776,140422.3334,13066.78335,60621.0991
,2,2219989.61,2510064.668,3028537.443,3037699.925,755737.0216,525396.2341,346107.5121,376176.5634,862686.8276,52149686.66,3209.632951,25660.179,3675.113218,<LOD,NPD,153469.3255,254268.3893,49698.2785,456629.0587,43695.98058,12100.29483,8017.129632,26174.31063,10836.79902,22758.11279,5438.400892,NPD,NPD,1702936.569,46641.7679,22263.84975,6125.02869,17072.51481,17170.77248,16042.44925,10809.97459,6436.577985,NPD,212168.4751,NPD,21343.71747,7114.84833,9193.065064,4175.146448,NPD,NPD,42256.09672,13256.29466,<LOD,2875.12393,75351.48374,4113.897023,13855.10361,<LOD,2229.158237,Interfered,Interfered,NPD,38081.58183,22203.52815,NPD,4604.747118,2227.911253,NPD,132149.7021,NPD,NPD,NPD,12780.61228,18368.28345,NPD,10997.37593,<LOD,483381.1084,NPD,18813.80765,11435.49811,17566.89847,1947.21431,NPD
,3,2343581.386,2229069.16,1773366.163,2990791.889,817154.1967,552918.5195,376811.0216,388094.6496,851833.1543,171102429.1,1917347.823,24742.68598,4719.467701,7134.112318,4782.227204,155119.2146,241508.2303,25372.71739,868859.0803,45361.29024,5075.158946,4631.575189,278848.3871,4290.734884,174629.724,15288.57448,2349.863991,Interfered,1681935.504,102116.6391,19591.40517,NPD,11345.58726,11417.3365,8686.17128,Interfered,2201.55049,17314.17106,42984.40267,33154.21615,NPD,NPD,2045.553811,46150.42545,4864.487175,Interfered,2889.441663,12456.63654,<LOD,NPD,7836.054503,3695.939187,7324.388465,1222.363761,3056.737665,22339.11528,Interfered,6430.576952,53380.54766,NPD,NPD,8782.995268,<LOD,1481.209247,135545.0581,8740.498664,5942.013256,NPD,NPD,4489.285221,514987.7952,NPD,1780.779017,507332.5632,Interfered,2812.29302,1905.627814,5446.758322,1288.77657,2095.436876
,4,2309193.504,2229618.222,2557201.037,3027213.602,768207.7455,483870.1694,364118.0507,370773.5162,723945.6854,67754298.51,2185688.126,,NPD,<LOD,3010.018039,258536.4909,82552.97581,2723.41032,534642.9383,11430.93263,6290.676964,9630.165893,7006.852213,131007.281,66438.59037,<LOD,7486.927213,Interfered,1542061.475,18547.35308,14455.03705,NPD,14235.21026,552968.8063,22772.12809,8995.619714,382547.6501,9112.80232,23830.67272,16202.76884,19246.66984,NPD,1683.983078,Interfered,NPD,<LOD,66854.54694,26022.9685,<LOD,3990.435765,8672.159959,3358.833317,42650.82441,<LOD,1868.459871,7635.822148,28236.86744,5278.628517,164129.5197,10976.51162,1808.845698,NPD,NPD,13126.0079,NPD,4589.817571,NPD,NPD,16376.59633,55099.07726,<LOD,15173.95959,3777.166388,407029.4042,Interfered,NPD,5676.243212,11793.9019,<LOD,2207.323636
,5,2201386.53,2449426.066,2280996.79,3235499.555,777114.0316,464617.6872,337290.9096,326595.1735,848893.2092,22891620.66,2278902.161,21927.511,NPD,NPD,3809.089097,24976.545,79339.6312,107954.1215,220848.2561,98275.68326,5251.436545,4131.264843,29968.92717,14394.28804,6415.525757,NPD,NPD,Interfered,1590361.666,13855.69062,14168.7724,5912.43072,12524.95889,5085.960721,14926.69767,NPD,2717.767871,74752.81515,144456.0641,4953.648997,17380.82049,4965.917718,1057.041714,Interfered,NPD,NPD,7909.530795,Interfered,1777.191103,24849.46835,10979.60756,2539.900085,36627.2818,NPD,7938.16101,Interfered,16085.5658,2867.107782,71344.79397,49899.34054,1117.139094,NPD,<LOD,2067.37749,NPD,10613.01293,<LOD,NPD,<LOD,NPD,<LOD,46570.89336,NPD,393143.9924,NPD,<LOD,13869.1841,NPD,<LOD,2310.888021
,6,2108631.87,2719107.085,2127569.149,3394909.053,825985.7974,805740.8091,401019.2326,426100.3806,861078.8372,161224780.4,1975091.909,22245.04989,Interfered,4128.940734,2779.807229,58409.01946,497373.9368,8417.367646,726671.782,14087.06615,Interfered,34984.42698,23632.24153,11480.35901,NPD,3790.786161,17293.44744,Interfered,1648473.57,33913.24304,<LOD,1801.215166,NPD,7892.763686,7460.670239,5829.842548,3227.459279,39870.79923,NPD,3675.504659,5903.266033,58282396.13,<LOD,10124.0925,2660.392262,Interfered,10409.75355,Interfered,<LOD,NPD,15797.25267,NPD,16094.26094,NPD,NPD,42674.66459,Interfered,2914.275501,28167.30148,15379.84087,1771.834873,NPD,324542.9426,2647.19044,123104.5105,<LOD,4172.056155,NPD,NPD,4863.939818,<LOD,8134.683265,2029.20936,506525.224,NPD,NPD,13251.00791,299126.1575,<LOD,4826.574518
,7,2396456.898,2816654.977,2077726.227,3299990.127,819907.9051,526437.0454,396261.5766,400730.7092,1063171.918,121763608.4,2053204.478,37805.73781,Interfered,NPD,2722.241556,12492.46008,63053.69497,14121.13245,502736.2981,31924.17346,Interfered,2926.21291,36657.2083,67512.33522,161147.3229,29129.87337,10672.67931,Interfered,1699586.778,25930.59464,5728.839347,NPD,19988.02594,6044.689073,74558.33031,NPD,1562.925828,14627.04345,33275.87364,4270.98349,<LOD,258661.3795,NPD,13230.61905,2951.263299,Interfered,9308.010641,12158.07343,2415.602363,NPD,NPD,NPD,NPD,2611.996818,NPD,8751.453833,NPD,NPD,208891.9031,15512.4386,<LOD,<LOD,3126.937155,2267.286707,152582.2806,<LOD,4057.608053,NPD,<LOD,NPD,53457.19903,6718.013067,1572.600896,515770.8219,Interfered,22992.41482,2801.339568,NPD,<LOD,<LOD
,8,2265266.752,2817567.872,2003656.633,3413835.431,776042.3498,490433.2211,373771.8477,448488.9513,888174.2671,46824570.4,2381786.406,35405.29098,NPD,NPD,<LOD,3932.893246,106033.5739,NPD,425346.319,42735.25421,Interfered,3091.268988,96144.33229,24305.13068,174258.0941,34005.87333,3692.484939,Interfered,1655830.615,7278.61875,21830.05993,NPD,36105.93197,1278.790858,22923.21208,NPD,<LOD,52540.04813,12717.80895,NPD,NPD,94167.805,1387.194551,28536.58699,NPD,NPD,14718.39339,Interfered,<LOD,4529.986654,10698.76709,7510.838269,16972.59925,NPD,3684.369367,7802.470575,<LOD,4930.973815,202482.9506,17781.02194,2026.112382,7352.40528,<LOD,7435.604936,NPD,<LOD,6938.328954,NPD,NPD,2634.598921,40270.33198,2152.546424,<LOD,496466.85,Interfered,3143.20432,<LOD,<LOD,3547.231143,2577.287147
,9,1773093.187,2411424.091,2072037.547,2824057.096,698048.2502,496900.4895,335230.1861,294603.5607,633765.1024,23102244.77,1749182.08,24157.13809,9124.803235,NPD,<LOD,5060.039383,226548.2924,6645.21308,213155.2034,33184.18515,Interfered,2700.370329,12350.33668,12303.1293,10406.99099,3787.10543,11608.55961,Interfered,1523354.045,44153.1606,7144.09927,NPD,NPD,1384.713434,29411.48717,9097.756065,<LOD,6594.09506,339557.84,4764.094182,6397.932835,21446.59703,4602.568528,2065.245738,<LOD,15092.14178,5312.808068,Interfered,2207.184333,15645.93136,3360.363809,8720.919048,20833.96689,1230.089339,NPD,Interfered,NPD,2498.878591,95941.88782,33743.55056,5992.132343,<LOD,2513.889025,1628.954284,111546.059,<LOD,3923.083218,NPD,NPD,NPD,<LOD,4193.576213,4763.489257,354947.2296,Interfered,3550.26963,6144.532404,5160.264895,1280.960305,4539.401853
,10,1363716.282,1534040.577,1354405.936,1983729.986,164208.8661,354386.3019,248449.1052,238987.1529,419465.8977,58586864.2,1265781.334,25186.76892,24208.57425,6038.981547,NPD,13389.29658,234029.1527,NPD,310688.7079,29279.35746,Interfered,6831.429861,11333.30929,8919.102955,18355.87225,NPD,9788.223879,Interfered,1030082.656,29485.04704,<LOD,48323.21322,NPD,NPD,7953.208215,NPD,NPD,NPD,36032.49259,<LOD,<LOD,4790.384278,5846.673365,4061.955004,<LOD,Interfered,NPD,NPD,6082.578543,NPD,2846.362124,NPD,21078.53368,NPD,Interfered,11688.93838,Interfered,<LOD,48325.26001,<LOD,20455.60254,NPD,5494.999494,2631.356592,115340.7367,2780.191379,NPD,2999.244537,<LOD,<LOD,<LOD,NPD,7254.336729,294084.1187,5605.442877,<LOD,2438.667671,<LOD,10110.50993,5719.299286
,11,917930.8985,1199296.632,1036135.001,1410912.368,98540.41179,274687.3238,155528.7032,142880.9193,371826.5666,89630308.28,921529.9662,36308.29035,Interfered,9804.038178,NPD,7692.00664,167807.7004,NPD,723936.6861,122685.0341,Interfered,3713.765919,6259.754621,26852.14908,13253.14113,8783.639813,9373.606896,<LOD,733070.5588,17164.53593,NPD,39809.58924,15479.0061,2516.853498,3822.16095,6835.74553,NPD,7106.581543,65228.48244,Interfered,NPD,12782.96333,<LOD,1514.867152,NPD,4357.3873,13674.80013,NPD,370619.3502,8283.553829,NPD,NPD,2454.039071,21569.4857,Interfered,10334.49907,NPD,<LOD,61294.04779,19339.80398,2245.259293,5132.61184,17209.54052,2532.384325,86419.56426,3420.531484,NPD,NPD,NPD,2834.318937,<LOD,<LOD,<LOD,170069.0141,4558.294151,NPD,3387.451805,<LOD,11505.40118,2336.144745
,12,972032.0336,1220178.474,1026431.095,1479115.872,129296.7036,231666.5677,148638.4513,146820.5415,377712.8812,115982043.2,926282.3063,,10527.12352,8469.106938,NPD,4326.740786,44722.69226,Interfered,1225835.402,11951.60416,Interfered,<LOD,NPD,89279.53986,5835.636923,NPD,2092.252324,NPD,684355.6225,16363.31153,<LOD,31865.87834,11864.41409,52242.20232,24022.08966,<LOD,32786.7931,41162.12009,NPD,NPD,NPD,14529.80106,3005.61792,<LOD,NPD,26798.08295,18825.44088,Interfered,248843.1178,NPD,4071.073898,7033.063341,4443.596703,11717.15139,Interfered,21677.26736,NPD,NPD,183728.4292,14424.45369,3482.958984,<LOD,NPD,NPD,54842.32423,NPD,NPD,NPD,NPD,3912.323967,NPD,46839.54641,6910.842607,183077.7497,NPD,<LOD,3762.81524,4135.062379,1549.40464,<LOD
,13,1516095.417,1552412.018,1415824.019,1431098.588,145265.8713,315118.2053,262637.5904,298959.0383,695925.7785,1157785.947,1328573.575,252398.8993,278077.3813,397257.7485,287262.603,<LOD,NPD,Interfered,22535.03845,<LOD,480350.5032,290468.4695,131712.1192,249485.2036,281556.833,354175.916,185573.5443,380627.6593,722006.1074,170313.0486,316009.4273,201362.6665,507938.663,103141.9371,157330.9868,Interfered,71225.94398,144183.3663,6273.506783,40765.79392,480077.3189,325506.0853,63642.80191,NPD,262783.2761,Interfered,109654.277,125504.1376,263398.6036,169226.1325,158288.6229,173583.1526,110731.9628,124679.0306,66960.05437,280888.9752,173841.2468,322040.9565,892486.5013,171796.4373,76674.86012,179039.8524,69165.78639,134482.5237,92566.70399,78049.32887,118330.5586,180231.6266,425739.9515,135168.819,134251.7508,91303.23096,89333.02476,343478.6507,88524.01506,69208.11973,81133.5804,165552.9064,34977.95962,98617.3556
20240909_09,1,2616289.108,2534723.357,2283601.114,2703267.826,810954.8074,449316.3832,446414.2668,498037.5982,885187.3942,48308.84794,1917705.971,263653.106,144772.7707,218150.7312,130770.2297,2148.177056,NPD,98069.27387,20589.94575,50561.80393,154440.3147,130347.906,105085.2013,124513.103,230153.7176,195818.2222,140479.993,230826.4124,1421275.794,102457.8005,207614.7986,124410.4162,263124.3783,65557.21278,101465.3494,155260.6745,35412.82154,97034.08588,84178.56473,30510.59439,340344.4724,185148.3356,37107.07396,89461.86987,179613.0695,48845.50975,66808.62738,Interfered,124252.1881,112352.7287,88659.06589,134171.2735,60177.60488,55709.12247,44878.72562,Interfered,150272.4511,174323.4946,351870.9062,155468.498,78640.0085,91566.84073,40620.06725,66978.342,205408.4752,65696.91706,63526.44369,103172.0958,237998.5734,78956.31186,77549.79948,43357.11872,58658.86111,549411.5258,75733.4897,37679.70814,40213.37945,160568.5918,11657.91815,50306.5796
,2,1735870.329,2605634.693,2210880.561,3434185.801,744646.4425,570644.232,392038.3006,404872.7977,979334.6077,155356830.4,2158518.92,,NPD,NPD,NPD,602054.6322,66196.02543,34290.0578,1120299.71,62349.3105,6076.236699,7360.036663,9119.009756,<LOD,17173.90002,<LOD,11737.09751,NPD,1662592.201,21403.29326,NPD,5719.211439,8520.361888,8828.67423,<LOD,7386.962689,NPD,16318.42604,39166.18223,4917.010343,NPD,<LOD,<LOD,Interfered,2820.603796,2808.513247,<LOD,NPD,<LOD,14479.09009,3869.320433,<LOD,19170.3812,2048.865609,NPD,16722.09426,Interfered,4181.108699,10749.25005,85392.5252,<LOD,10691.90558,2511.537733,NPD,130538.9669,7092.935985,<LOD,NPD,NPD,5151.802326,NPD,NPD,1481.838556,503170.1862,Interfered,2746.458991,3426.582331,46189.21773,<LOD,NPD
,3,2198499.52,2517772.559,2286429.977,2992243.311,745545.5131,501835.749,327553.6088,346350.1122,801937.0716,64883292.91,2032965.635,,NPD,<LOD,2819.498955,70369.65488,103642.0764,35679.11894,935052.2142,32211.88009,4301.421416,4732.314745,7895.807283,6841.574646,8729.739231,NPD,NPD,NPD,1528958.96,17021.48847,34579.8024,NPD,4841.085977,248148.8863,<LOD,61888.33618,164052.8487,47853.5084,76918.12557,NPD,13340.54587,14260.35137,NPD,Interfered,<LOD,Interfered,21229.31324,52249.72076,<LOD,13376.20555,19112.84992,NPD,31555.79153,2908.931477,NPD,Interfered,NPD,13969.63713,221493.6991,<LOD,2310.519539,9888.242969,2301.001456,1872.127875,152071.8996,7821.862981,2868.782362,4317.255384,6274.40062,28984.25604,5422.663611,NPD,1353.071149,359904.871,Interfered,3853.889304,6879.807107,NPD,NPD,<LOD
,4,1458281.661,2295700.775,1509148.108,3010920.525,688115.9834,465564.72,333003.8795,380707.7603,810838.2039,62912123.67,1933639.008,27768373.84,NPD,NPD,<LOD,41522.34185,103439.5807,14169.48342,322028.8724,60437173.7,Interfered,19593.88251,83112.74537,160711.831,71655.55338,4374.837602,3095.555226,Interfered,1487832.872,10625.20765,18402.34273,24740.30736,9930.833541,4421.732044,90755.64192,453791.0954,NPD,34801.98686,2123260.88,NPD,NPD,7289.927496,NPD,1480.263782,5284.707674,<LOD,3009.995213,6727.001714,11850.38138,NPD,NPD,<LOD,20067.90136,NPD,NPD,Interfered,Interfered,2593.480064,82680.13115,NPD,2973.365045,6881.774117,2681.934632,NPD,85820.02487,17669.32665,4524.630709,NPD,10297.85397,10194.64418,72336.64353,NPD,NPD,453955.7407,Interfered,NPD,11857.67071,8473.667255,3170.229787,4676.131092
,5,2339492.192,2282787.714,2285103.414,2998622.656,732626.6058,440159.0145,324408.1658,344925.0148,597202.8876,29282130.66,2118958.311,347756.4609,15427.95708,58196.3027,NPD,20981.0782,82029.95082,18275645.07,132352.7514,265305.4707,Interfered,6412.431293,97000.37126,92828.2237,161439.9509,3818.028239,11118.67019,Interfered,1543419.245,22262.35041,28065.00266,3090.593083,54439.69127,3053.204755,7662.474415,47034.53379,NPD,36525.68581,63593.25594,4852.394774,9270.918729,97841.80715,NPD,Interfered,NPD,1575.001679,18193.07572,NPD,<LOD,NPD,5613.409655,<LOD,35846.04837,<LOD,NPD,11460.59423,Interfered,NPD,71067.7611,36886.00636,<LOD,NPD,9049.691461,2260.481727,123692.9383,<LOD,5463.196297,6655.603124,<LOD,NPD,195681.9459,4992.121484,NPD,351027.1608,Interfered,NPD,20751.60319,19783.38029,NPD,7722.712158
